"Daily Weather Observations for Melbourne, Victoria for May 2024"
"Prepared at 13:03 UTC on Friday  7 June 2024   IDCJDW3050.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,8.2,18.8,0.2,2.2,9.4,SSE,28,14:25,12.5,75,1,SSE,7,1033.4,18.3,49,2,SE,9,1030.7
,2024-05-2,8.3,16.6,0,1.6,5.7,S,19,00:20,10.3,91,7,NNE,6,1033.4,16.2,64,1,SW,6,1030.6
,2024-05-3,6.6,17.1,0,1.0,9.1,SE,17,20:30,8.9,88,3,NE,7,1031.0,16.4,71,6,SW,7,1027.2
,2024-05-4,5.9,16.4,0,2.0,3.1,NNE,15,13:15,8.5,100,7,NNE,7,1027.1,16.2,63,7, ,Calm,1024.5
,2024-05-5,8.4,18.3,0,1.0,3.3,SSE,30,20:10,12.0,93,7, ,Calm,1027.1,16.3,75,2,SW,9,1026.4
,2024-05-6,9.6,19.7,0,1.2,6.6,SSE,28,14:04,12.5,100,7,SE,11,1033.3,19.2,55,2,SE,11,1030.3
,2024-05-7,8.3,16.4,0,2.2,9.2,S,17,12:25,13.3,83,1,N,9,1033.1,15.4,74,1,S,7,1030.6
,2024-05-8,10.2,18.3,0,2.0,6.9,SSW,15,13:17,13.0,82,7,NE,7,1033.0,17.7,65,2,SW,7,1029.7
,2024-05-9,9.7,16.6,0,2.4,0.3,NW,17,22:09,12.7,100,7, ,Calm,1031.9,16.0,81,7,SSW,7,1029.8
,2024-05-10,12.7,17.1,14.0,0.2,0.1,N,13,05:22,14.0,100,8, ,Calm,1030.2,16.1,89,8,SSW,6,1028.2
,2024-05-11,12.8,19.2,1.8,0.0,3.0,ESE,28,14:02,14.2,100,8, ,Calm,1028.3,18.1,61,7,SE,13,1025.9
,2024-05-12,8.6,18.7,0,2.8,9.6,SSW,15,15:40,11.3,98,1,ENE,2,1025.0,18.0,68,1,SW,7,1021.8
,2024-05-13,9.2,18.9,0,2.4,7.8,SW,24,19:59,11.6,88,1,NE,9,1023.0,17.3,67,4,SSW,9,1021.7
,2024-05-14,11.6,16.7,0,2.6,3.8,SSE,22,13:25,13.8,60,7,W,9,1028.5,16.1,57,5,SSW,9,1028.5
,2024-05-15,6.7,17.8,0,1.6,8.1,NW,19,11:34,9.1,85,5,NE,9,1030.1,16.5,58,2,SSW,9,1028.1
,2024-05-16,6.5,17.7,0,2.0,9.2,SSW,15,14:09,9.4,86,1,NNE,7,1030.0,17.2,57,1,S,7,1027.3
,2024-05-17,7.6,15.8,0,2.2,1.4,SW,35,14:55,12.2,83,5,NNW,9,1027.1,12.7,90,7,SSW,17,1026.6
,2024-05-18,7.8,13.9,1.8,1.6,9.3,SSE,28,10:44,10.6,56,2,SE,9,1032.7,13.3,45,1,SW,11,1031.0
,2024-05-19,6.2,15.4,0,1.8,0.2,NW,26,03:52,11.4,74,7,NW,6,1025.3,14.1,95,7,WNW,2,1022.3
,2024-05-20,10.2,14.7,3.2,0.6,0.7,SSW,24,00:05,11.0,100,7,SW,7,1027.4,13.9,76,7,SSW,11,1027.5
,2024-05-21,10.3,14.7,0.8,2.0,0.4,SSW,19,12:56,11.6,88,8,SSW,4,1030.8,13.6,66,6,S,9,1029.2
,2024-05-22,5.1,16.2,0.2,0.4,5.6,SSW,17,13:58,7.4,88,1,NNE,9,1028.9,15.9,67,5,S,6,1026.5
,2024-05-23,7.3,15.2,0.8,0.6,4.8,SSW,15,13:12,11.4,95,7,E,2,1029.2,14.8,66,7,SSW,6,1027.3
,2024-05-24,5.9,13.7,0,1.0,0.0,SSW,15,15:46,9.0,83,7,NE,6,1029.0,13.6,82,7,SSW,2,1027.3
,2024-05-25,8.7,17.1,0,0.4,6.7,NNE,13,08:30,12.1,91,7,N,6,1028.5,14.7,72,1,SSW,6,1025.8
,2024-05-26,5.2,16.7,0,1.4,9.6,NNE,15,06:19,6.3,100,0,NNE,9,1027.1,16.3,55,1,S,6,1024.2
,2024-05-27,5.2,20.2,0,1.2,9.5,NNE,17,09:10,7.6,85,0,NNE,11,1026.6,19.5,37,0,NNW,9,1024.3
,2024-05-28,7.4,20.0,0,2.8,9.4,NNE,26,12:36,10.1,72,0,NE,9,1027.6,19.5,45,0,NNE,15,1025.2
,2024-05-29,7.9,19.5,0,4.0,9.0,N,54,13:37,12.9,57,1,N,13,1024.8,19.1,44,2,N,26,1020.8
,2024-05-30,12.9,20.4,0,6.6,0.2,N,65,09:48,17.4,60,7,N,20,1015.3,20.0,52,8,N,24,1009.7
,2024-05-31,14.2,18.4,3.6,4.0,8.5,NNW,43,11:17,14.8,60,1,N,17,1012.1,17.9,38,7,WNW,13,1013.1